Word,Iconicity,ipa,1_syl,2_son,3_cons,4_cont,5_delrel,6_lat,7_nas,8_strid,9_voi,10_sg,11_cg,12_ant,13_cor,14_distr,15_lab,16_hi,17_lo,18_back,19_round,20_velaric,21_tense,22_long,23_hitone,24_hireg,phon_pred
deceit,0.2878787878787878,dəsit,0.4,0.4,0.6,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.6,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.4287310293034946
unwholesome,0.3846153846153846,ənowlsəm,0.375,0.875,0.5,0.75,0.0,0.125,0.25,0.0,0.875,0.0,0.0,0.5,0.375,0.0,0.25,0.125,0.0,0.5,0.25,0.0,0.125,0.0,0.0,0.0,0.42872990084714113
waken,0.3833333333333333,wejkən,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.0,0.0,0.1666666666666666,0.0,0.8333333333333334,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,0.5,0.0,0.5,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0,0.0,0.4287150153719798
disintegrate,0.4242424242424242,dɪsɪntəɡɹejt,0.3333333333333333,0.5833333333333334,0.5,0.5833333333333334,0.0,0.0,0.0833333333333333,0.0,0.75,0.0,0.0,0.5,0.5,0.0,0.0,0.4166666666666667,0.0,0.25,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0,0.0,0.42869838515049974
dress,0.3166666666666666,dɹɛs,0.25,0.5,0.5,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.75,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.42869807202397214
pepper,0.5166666666666666,pɛpɹ̩,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.75,0.25,0.0,0.5,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.42869460713217106
importance,0.5909090909090909,ɪmpɔɹtəns,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.0,0.0,0.2222222222222222,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.4444444444444444,0.0,0.2222222222222222,0.2222222222222222,0.0,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.42868205860548014
mortar,0.3166666666666666,mɔɹtɹ̩,0.4,0.8,0.4,0.6,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.8,0.6,0.0,0.2,0.4,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.4286729081089045
incorruptible,0.3974358974358974,ɪnkɹ̩ʌptəbəl,0.4545454545454545,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.0,0.0909090909090909,0.0909090909090909,0.0,0.7272727272727273,0.0,0.0,0.5454545454545454,0.3636363636363636,0.0,0.1818181818181818,0.2727272727272727,0.0,0.4545454545454545,0.0909090909090909,0.0,0.0909090909090909,0.0,0.0,0.0,0.42866916476656725
extension,0.4666666666666666,ɪkstɛnʃən,0.3333333333333333,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.0,0.0,0.2222222222222222,0.0,0.5555555555555556,0.0,0.0,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.4286667448716054
fertilizer,0.45,fɹ̩təlajzɹ̩,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.8888888888888888,0.0,0.1111111111111111,0.0,0.1111111111111111,0.7777777777777778,0.0,0.0,0.6666666666666666,0.5555555555555556,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.4286536264968069
totter,0.6388888888888888,tɑtɹ̩,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.75,0.75,0.0,0.0,0.25,0.25,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.4286527286436926
sadist,0.5333333333333333,sejdəst,0.2857142857142857,0.4285714285714285,0.5714285714285714,0.7142857142857143,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.5714285714285714,0.5714285714285714,0.0,0.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.4286460839605619
corvette,0.4166666666666666,kɔɹvɛt,0.3333333333333333,0.5,0.5,0.6666666666666666,0.0,0.0,0.0,0.1666666666666666,0.6666666666666666,0.0,0.0,0.5,0.3333333333333333,0.0,0.1666666666666666,0.3333333333333333,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.4286311096719265
madness,0.5499999999999999,mædnəs,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.0,0.0,0.3333333333333333,0.0,0.8333333333333334,0.0,0.0,0.6666666666666666,0.5,0.0,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.42862115604711326
reunion,0.5166666666666666,ɹiunjən,0.4285714285714285,1.0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,1.0,0.0,0.0,0.4285714285714285,0.4285714285714285,0.0,0.1428571428571428,0.5714285714285714,0.0,0.4285714285714285,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.4286201755908407
bigoted,0.1666666666666666,bɪɡətɪd,0.4285714285714285,0.4285714285714285,0.5714285714285714,0.4285714285714285,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.4285714285714285,0.2857142857142857,0.0,0.1428571428571428,0.4285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.4286133303856083
censure,0.1833333333333333,sɛnʃɹ̩,0.4,0.6,0.6,0.8,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.6,0.8,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.42860559144300336
hasten,0.4545454545454545,hejsən,0.3333333333333333,0.8333333333333334,0.5,0.8333333333333334,0.0,0.0,0.1666666666666666,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.42859516030499045
heinous,0.4833333333333333,hejnəs,0.3333333333333333,0.8333333333333334,0.5,0.8333333333333334,0.0,0.0,0.1666666666666666,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.42859516030499045
espresso,0.5151515151515151,ɛspɹɛsow,0.375,0.625,0.375,0.875,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.5,0.375,0.0,0.25,0.25,0.0,0.375,0.375,0.0,0.125,0.0,0.0,0.0,0.428578364861843
minutely,0.4242424242424242,mɪnətli,0.4285714285714285,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.0,0.1428571428571428,0.2857142857142857,0.0,0.8571428571428571,0.0,0.0,0.5714285714285714,0.4285714285714285,0.0,0.1428571428571428,0.2857142857142857,0.0,0.1428571428571428,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.4285733610795922
paramount,0.2333333333333333,pɛɹəmawnt,0.3333333333333333,0.7777777777777778,0.4444444444444444,0.5555555555555556,0.0,0.0,0.2222222222222222,0.0,0.7777777777777778,0.0,0.0,0.5555555555555556,0.3333333333333333,0.0,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.4285638056061605
